eid,doi,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,coverDate,coverDisplayDate,publicationName,issn,source_id,aggregationType,authkeywords,citedby_count,openaccess
2-s2.0-105001713638,10.1007/s43621-025-00954-y,"Cognition and context-aware decision-making systems for a sustainable planet: a survey on recent advancements, applications and open challenges",re,Review,Violos J.,Centre for Research and Technology-Hellas,Thessaloniki,Greece,2025-12-01,December 2025,Discover Sustainability,,21101138720,Journal,,0,1
2-s2.0-86000652221,10.1016/j.jss.2025.112405,A systematic mapping study of crowd knowledge enhanced software engineering research using Stack Overflow,ar,Article,Tanzil M.H.,University of Calgary,Calgary,Canada,2025-08-01,August 2025,Journal of Systems and Software,01641212,19309,Journal,,0,1
2-s2.0-85216101053,10.1016/j.grets.2025.100169,A literature review on transformative impacts of blockchain technology on manufacturing management and industrial engineering practices,re,Review,Hariyani D.,Swami Keshvanand Institute of Technology Management &amp; Gramothan,Jaipur,India,2025-07-01,July 2025,Green Technologies and Sustainability,,21101248690,Journal,,1,1
2-s2.0-105004851676,10.3390/electronics14091854,The Integration of AI and IoT in Marketing: A Systematic Literature Review,re,Review,Rosário A.T.,"GOVCOPP – Research Unit on Governance, Competitiveness and Public Policies;IADE - Universidade Europeia",Aveiro;Lisbon,Portugal;Portugal,2025-05-01,May 2025,Electronics (Switzerland),,21100829272,Journal,,0,0
2-s2.0-105004711447,10.52305/SWWP8280,The power of purpose: Finding meaning in every moment,bk,Book,Bhandari M.P.,Sumy State University;Gandaki University;Akamai University,"Sumy;Pokhara, Kaski;Durham",Ukraine;Nepal;United States,2025-03-10,10 March 2025,The Power of Purpose: Finding Meaning in Every Moment,,21101294415,Book,,0,0
2-s2.0-85218276723,10.1007/s10113-024-02349-7,Supporting adaptive pathways planning using archetypes for climate adaptation,ar,Article,Di Fant V.,Deltares;Universiteit Utrecht,Delft;Utrecht,Netherlands;Netherlands,2025-03-01,March 2025,Regional Environmental Change,14363798,144969,Journal,,0,1
2-s2.0-85213228724,10.1016/j.rineng.2024.103782,"Evolution, topics and relevant research methodologies in business intelligence and data analysis in the academic management of higher education institutions. A literature review",re,Review,Correa-Peralta M.,Universidad Estatal de Milagro,Milagro,Ecuador,2025-03-01,March 2025,Results in Engineering,,21100904991,Journal,,1,1
2-s2.0-85207598633,10.1016/j.inffus.2024.102721,Interpretability research of deep learning: A literature survey,ar,Article,Xu B.,Guizhou University,Guiyang,China,2025-03-01,March 2025,Information Fusion,15662535,26099,Journal,,19,0
2-s2.0-85209250611,10.1016/j.infsof.2024.107622,Systematic mapping study on requirements engineering for regulatory compliance of software systems,re,Review,Kosenkov O.,Fortiss GmbH;Blekinge Tekniska Högskola,Munich;Karlskrona,Germany;Sweden,2025-02-01,February 2025,Information and Software Technology,09505849,18732,Journal,,1,0
2-s2.0-85218068988,10.4018/979-8-3693-7282-1,AI technologies for enhancing recycling processes,bk,Book,Mitra D.,Graphic Era University (Deemed),Commerce,India,2025-01-16,16 January 2025,AI Technologies for Enhancing Recycling Processes,,21101274887,Book,,0,0
2-s2.0-86000766794,10.1007/s10639-025-13478-9,A new era in early childhood education (ECE): Teachers’ opinions on the application of artificial intelligence,ar,Article,Kölemen E.B.,Sakarya Üniversitesi,Serdivan,Turkey,2025-01-01,2025,Education and Information Technologies,13602357,144955,Journal,,0,0
2-s2.0-86000190091,10.4324/9781003585176,Toward Trustworthy Adaptive Learning: Explainable Learner Models,bk,Book,Jiang B.,East China Normal University;Shanghai Institute of Artificial Intelligence for Education,Shanghai;Shanghai,China;China,2025-01-01,1 January 2025,Toward Trustworthy Adaptive Learning: Explainable Learner Models,,21101280608,Book,,0,0
2-s2.0-85217303397,10.4324/9781003091172,"Vicarious Trauma and Burnout in Law: Managing Psychological Stress to Promote Safety, Performance, and Wellbeing in Legal Practice",bk,Book,James C.,The Australian National University,Canberra,Australia,2025-01-01,1 January 2025,"Vicarious Trauma and Burnout in Law: Managing Psychological Stress to Promote Safety, Performance, and Wellbeing in Legal Practice",,21101273777,Book,,0,0
2-s2.0-85217221644,10.12821/ijispm130102,"A structured taxonomy for effective digital transformation project implementation: Development, validation, and practical insights",ar,Article,Tarannum R.,Fachhochschule Dortmund,Dortmund,Germany,2025-01-01,2025,International Journal of Information Systems and Project Management,21827796,21100450117,Journal,,0,1
2-s2.0-85216123140,10.1177/09720634241311384,Mapping the Research on Healthcare Delivery in Business and Management in the Last Two Decades (2002–2021): A Bibliometric Network Analysis,ar,Article,Pal D.,Delhi Technological University,New Delhi,India,2025-01-01,2025,Journal of Health Management,09720634,15920,Journal,,0,0
2-s2.0-105005784631,10.2196/69333,Optimizing Clinical Decision Support System Functionality by Leveraging Specific Human-Computer Interaction Elements: Insights From a Systematic Review,ar,Article,Azadi A.,Universidad de Salamanca,Salamanca,Spain,2025-01-01,2025,JMIR Human Factors,,21101021458,Journal,,0,0
2-s2.0-105004532120,10.1007/978-981-96-1797-5,Managing Software Supply Chains: Theory and Practice,bk,Book,Wang Y.,Software College of Northeastern University,Shenyang,China,2025-01-01,1 January 2025,Managing Software Supply Chains: Theory and Practice,,21101293479,Book,,0,0
2-s2.0-105004514384,10.4018/979-8-3373-0300-0,"Energy-Efficient Deep Learning Approaches in IoT, Fog, and Green Blockchain Revolution",bk,Book,Sathio A.A.,Benazir Bhutto Shaheed University,Layari Karachi,Pakistan,2025-01-01,1 January 2025,"Energy-Efficient Deep Learning Approaches in IoT, Fog, and Green Blockchain Revolution",,21101293253,Book,,0,0
2-s2.0-105004506989,10.4018/979-8-3373-2262-9,Ethics and AI Integration Into Modern Classrooms,bk,Book,Khaldi M.,Université Abdelmalek Essaadi,Tetouan,Morocco,2025-01-01,1 January 2025,Ethics and AI Integration Into Modern Classrooms,,21101293204,Book,,0,0
2-s2.0-105003728968,10.2196/69465,"Enhancing Interoperability for a Sustainable, Patient-Centric Health Care Value Chain: Systematic Review for Taxonomy Development",re,Review,Marino C.A.,CENTRUM PUCP Escuela de Negocios,Lima,Peru,2025-01-01,2025,Journal of Medical Internet Research,,23709,Journal,,0,0
2-s2.0-105003519662,10.1201/9781003530244,Debiasing AI: Rethinking the Intersection of Innovation and Sustainability,bk,Book,Shin D.,,,,2025-01-01,1 January 2025,Debiasing AI: Rethinking the Intersection of Innovation and Sustainability,,21101290786,Book,,1,0
