title,doi
Knowledge driven rapid development of white box digital twins for industrial plant systems,10.1109/IECON48115.2021.9589912
Integration of SysML models in a 3D environment for Virtual Testing and Validation,10.1145/3531056.3542784
Model-Driven Development of a Digital Twin for Injection Molding,10.1007/978-3-030-49435-3_6
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML,10.1109/ETFA45728.2021.9613172
A model based framework for IoT-aware business process management,10.3390/fi15020050
Generative and model-driven sdk development for the industrie 4.0 digital twin,10.1109/ETFA45728.2021.9613164
Empowering Industry 4.0 with Generative and Model-Driven SDK Development,10.1109/IECON51785.2023.10312302
Generation of Digital Twins for Information Exchange Between Partners in the Industrie 4.0 Value Chain,10.1109/INDIN51400.2023.10218306
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era,10.1109/SYNASC57785.2022.00040
Ensuring consistency in scalable-detail models for DT-based control,10.1016/j.ifacol.2021.08.158
Supporting digital twins systems integrating the MERODE approach,10.1109/MODELS-C59198.2023.00079
Digital twins driving model based on petri net in industrial pipeline,10.1109/AIEA51086.2020.00067
Generating customized low-code development platforms for digital twins,10.1016/j.cola.2022.101117
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits,10.1007/978-3-030-62522-1_28
Closed-loop systems engineering (close): Integrating experimentable digital twins with the model-driven engineering process,10.1109/SysEng.2018.8544392
Supporting the development of digital twins in nuclear waste monitoring systems,10.1016/j.procs.2023.10.307
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management,10.1007/978-3-030-27878-6_5
An enhanced state-aware model learning approach for security analysis in lightweight protocol implementations,10.1186/s13677-024-00593-0
Enabling semantic interoperability of asset administration shells through an ontology-based modeling method,10.1145/3550356.3561606
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework,10.1109/ICPS58381.2023.10128003
Towards generating model-driven speech interfaces for digital twins,10.1109/MODELS-C59198.2023.00080
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development,10.1016/j.compind.2022.103631
Understanding and improving model-driven IoT systems through accompanying digital twins,10.1145/3486609.3487210
Model-driven digital twin construction: synthesizing the integration of cyber-physical systems with their information systems,10.1145/3365438.3410941
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling,10.3390/systems11030142
A pattern catalog for augmenting digital twin models with behavior,10.1515/auto-2022-0144
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML,10.1109/ETFA45728.2021.9613376
Twin Process Model Driven Machining Quality Optimization for Complex Parts,10.1109/DSInS54396.2021.9670612
Survey and practice on architecture and deployment method of digital twin system for intelligent substation,10.1109/ISCSIC60498.2023.00046
Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line,10.1007/s10845-023-02212-2
Generating digital twin cockpits for parameter management in the engineering of wind turbines,10.18420/modellierung2022-012
Explaining cyberphysical system behavior with digital twins,10.1109/MS.2023.3319580
A modeling approach supporting digital twin engineering: Optimizing the energy consumption of air conditioning facilities,10.1109/MODELS-C59198.2023.00083
A framework for model-driven engineering of resilient software-controlled systems,10.1007/s00607-020-00841-6
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model,10.1109/ACCESS.2022.3148708
Digital twin of an electrical motor based on empirical performance model,10.1109/ICEPDS47235.2020.9249366
On the Engineering of IoT-Intensive Digital Twin Software Systems,10.1145/3387940.3392195
Model-based digital twins of medicine dispensers for healthcare IoT applications,10.1002/spe.3311
A methodology for digital twin modeling and deployment for industry 4.0,10.1109/JPROC.2020.3032444
A model-driven digital twin for manufacturing process adaptation,10.1109/MODELS-C59198.2023.00081
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs,10.1007/978-3-031-33080-3_14
Model-driven engineering city spaces via bidirectional model transformations,10.1007/s10270-020-00851-0
Research on digital twin technology of small hydraulic system,10.1109/FPM57590.2023.10565471
Concept of a modular and system model driven digital twin for engineering education,10.1109/SoSE59841.2023.10178517
