authors,title,venue,publisher,year
"Banerjee, A., Chaudhuri, S.R., Basak, B., Dhakshinamoorthy, R., Annadurai, S., Subramani, N.",Knowledge driven rapid development of white box digital twins for industrial plant systems,"IECON 2021 - 47th Annual Conference of the IEEE Industrial Electronics Society, Toronto, ON, Canada, October 13-16, 2021",IEEE,2021
"Barat, S., Kulkarni, V., Clark, T., Barn, B.",Digital twin as risk-free experimentation aid for techno-socio-economic systems,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems,,2022
"Barosan, I., van der Heijden, J.",Integration of SysML models in a 3D environment for Virtual Testing and Validation,Proceedings of the Federated Africa and Middle East Conference on Software Engineering,,2022
"Bibow, P., Dalibor, M., Hopmann, C., Mainz, B., Rumpe, B., Schmalzing, D., Schmitz, M., Wortmann, A.",Model-Driven Development of a Digital Twin for Injection Molding,"S. Dustdar, E. Yu, C. Salinesi, D. Rieu, V. Pant (eds.) Advanced Information Systems Engineering - 32nd International Conference, CAiSE 2020, Grenoble, France, June 8-12, 2020, Proceedings, Lecture Notes in Computer Science, vol. 12127",Springer,2020
"Binder, C., Calà, A., Vollmar, J., Neureiter, C., Lüder, A.",Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML,"26th IEEE International Conference on Emerging Technologies and Factory Automation, ETFA 2021, Vasteras, Sweden, September 7-10, 2021",IEEE,2021
"Bocciarelli, P., D�Ambrogio, A., Panetti, T.",A model based framework for IoT-aware business process management,,,
"Braunisch, N., Ristin-Kaufmann, M., Lehmann, R., van de Venn, H.W.",Generative and model-driven sdk development for the industrie 4.0 digital twin,2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),IEEE,2021
"Braunisch, N., Ristin-Kaufmann, M., Lehmann, R., Wollschlaeger, M., van de Venn, H.W.",Empowering Industry 4.0 with Generative and Model-Driven SDK Development,"49th Annual Conference of the IEEE Industrial Electronics Society, IECON 2023, Singapore, October 16-19, 2023",IEEE,2023
"Braunisch, N., Ristin-Kaufmann, M., Lehmann, R., Wollschlaeger, M., van de Venn, H.W.",Generation of Digital Twins for Information Exchange Between Partners in the Industrie 4.0 Value Chain,"21st IEEE International Conference on Industrial Informatics, INDIN 2023, Lemgo, Germany, July 18-20, 2023",IEEE,2023
"Caesar, B., Jansen, N., Weigand, M., Fay, A., Rumpe, B.",Extracting hardware reconfiguration models based on knowledge synthesis from STEP files,"Companion Proceedings of ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Västerås, Sweden, October 1-6, 2023",IEEE,2023
"Chaudhary, H.A.A., Guevara, I., John, J., Singh, A., Ghosal, A., Pesch, D., Margaria, T.",Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges,"T. Margaria, B. Steffen (eds.) Leveraging Applications of Formal Methods, Verification and Validation. Practice - 11th International Symposium, ISoLA 2022, Rhodes, Greece, October 22-30, 2022, Proceedings, Part IV, Lecture Notes in Computer Science, vol. 13704",Springer,2022
