Authors,Author full names,Author(s) ID,title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,doi,Link,Document Type,Publication Stage,Open Access,Source,EID
Labade A.; Ambulgekar H.,"Labade, Akash (57221527595); Ambulgekar, Hemant (35291277800)",57221527595; 35291277800,Fuzzing for android application: Systematic literature review,2020,"11th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2020",,,,14,24,10,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099388977&partnerID=40&md5=bb50e03c6a987df36cef4539f2beecb8,Conference paper,Final,,Scopus,2-s2.0-85099388977
,,,"14th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2024",2024,"14th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2024",,,,,,575,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198941935&partnerID=40&md5=79928c19d79bca7ca0cd8d7fadc04723,Conference review,Final,,Scopus,2-s2.0-85198941935
Maharani L.; Durachman Y.; Ratnawati S.,"Maharani, Lisa (58946617700); Durachman, Yusuf (49663289500); Ratnawati, Suci (57200807328)",58946617700; 49663289500; 57200807328,Systematic Literature Review Method for Evaluation of User Experience on Ticket Booking Applications,2021,"2021 9th International Conference on Cyber and IT Service Management, CITSM 2021",,,,,,,3,10.1109/CITSM52892.2021.9588807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123237686&doi=10.1109%2fCITSM52892.2021.9588807&partnerID=40&md5=9f401c8a0b1440889ccd9430373470b4,Conference paper,Final,,Scopus,2-s2.0-85123237686
Al-Safi A.; Al-Khayyat A.; Manati A.M.; Alhafadhi L.,"Al-Safi, Amean (57188703190); Al-Khayyat, Ali (57218380727); Manati, Alyaa Muhsen (57211917119); Alhafadhi, Liqaa (57193812302)",57188703190; 57218380727; 57211917119; 57193812302,Advances in FPGA Based PWM Generation for Power Electronics Applications: Literature Review,2020,"11th Annual IEEE Information Technology, Electronics and Mobile Communication Conference, IEMCON 2020",,,9284821,252,259,7,18,10.1109/IEMCON51383.2020.9284821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099311555&doi=10.1109%2fIEMCON51383.2020.9284821&partnerID=40&md5=20cd11fabfa3a993a6334899d5930398,Conference paper,Final,,Scopus,2-s2.0-85099311555
Turugare R.; Shava F.B.; Chitauro M.,"Turugare, Ranganai (56444442300); Shava, Fungai Bhunu (55972609100); Chitauro, Mercy (57208883035)",56444442300; 55972609100; 57208883035,Analyzing Security Vulnerabilities in Solo-Developed mHealth Applications: A Systematic Literature Review,2023,"2023 International Conference on Emerging Trends in Networks and Computer Communications, ETNCC 2023 - Proceedings",,,,122,133,11,0,10.1109/ETNCC59188.2023.10284944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176762560&doi=10.1109%2fETNCC59188.2023.10284944&partnerID=40&md5=11289b0890334811d5ec95b594104cec,Conference paper,Final,,Scopus,2-s2.0-85176762560
,,,"31st International Conference on Computer Theory and Applications, ICCTA 2021 - Proceedings",2021,"31st International Conference on Computer Theory and Applications, ICCTA 2021 - Proceedings",,,,,,247,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141350240&partnerID=40&md5=0e10fe040d633939b06c0d89b8a2e7db,Conference review,Final,,Scopus,2-s2.0-85141350240
Sibanda B.K.; Iyawa G.E.; Gamundani A.M.,"Sibanda, Blessing K. (57219629182); Iyawa, Gloria E. (57044782900); Gamundani, Attlee M. (56342605300)",57219629182; 57044782900; 56342605300,Mobile apps utilising AI for plant disease identification: A systematic review of user reviews,2021,"2021 3rd International Multidisciplinary Information Technology and Engineering Conference, IMITEC 2021",,,,,,,3,10.1109/IMITEC52926.2021.9714567,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126616004&doi=10.1109%2fIMITEC52926.2021.9714567&partnerID=40&md5=588d9f716d3da778f648d9f2957e6cb3,Conference paper,Final,,Scopus,2-s2.0-85126616004
,,,"2024 1st International Conference on Advanced Computing and Emerging Technologies, ACET 2024",2024,"2024 1st International Conference on Advanced Computing and Emerging Technologies, ACET 2024",,,,,,829,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210082382&partnerID=40&md5=87b3fe9efb7d4fd156cd404bb597e624,Conference review,Final,,Scopus,2-s2.0-85210082382
Aris H.,"Aris, Hazleen (13608397500)",13608397500,Sustainable solvers participation in non-profit mobile crowdsourcing initiatives: A review of successful applications,2015,"2015 IEEE Student Conference on Research and Development, SCOReD 2015",,,7449420,659,664,5,3,10.1109/SCORED.2015.7449420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966473783&doi=10.1109%2fSCORED.2015.7449420&partnerID=40&md5=31c5f22d210d87ad3eb68f622b7a3ddd,Conference paper,Final,,Scopus,2-s2.0-84966473783
Latif R.A.; Razak F.H.A.,"Latif, Rubijesmin Abdul (56997500400); Razak, Fariza Hanis Abdul (19337340700)",56997500400; 19337340700,Aesthetics in Mobile Apps: A Systematic Literature Review,2024,"2024 IEEE International Conference on Computing, ICOCO 2024",,,,325,330,5,0,10.1109/ICOCO62848.2024.10928238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002054806&doi=10.1109%2fICOCO62848.2024.10928238&partnerID=40&md5=cdd4b6ac7725b1b813f6c0181d441f1b,Conference paper,Final,,Scopus,2-s2.0-105002054806
