A systematic literature review on usability heuristics for mobile phones,https://doi.org/10.4018/jmhci.2013040103
A systematic mapping study addressing the reliability of mobile applications: The need to move beyond testing reliability,https://doi.org/10.1016/j.jss.2021.111166
A systematic mapping study of mobile application testing techniques,https://doi.org/10.1016/j.jss.2016.03.065
A systematic mapping study on cloud-based mobile application testing,https://doi.org/10.32890/jict2019.18.4.5
A systematic study on software requirements elicitation techniques and its challenges in mobile application development,https://doi.org/10.1109/ACCESS.2018.2874981
Architectural Approaches for Emerging Technologies-based Mobile Apps–a Systematic Mapping Study,https://doi.org/10.1109/ICSESS52187.2021.9522238
Automated functional testing of mobile applications: a systematic mapping study,https://doi.org/10.1007/s11219-018-9418-6
Automated testing of android apps: A systematic literature review,https://doi.org/10.1109/TR.2018.2865733
Automated testing of mobile applications: A systematic map and review,
Developing Mobile Applications Via Model Driven Development: A Systematic Literature Review,https://doi.org/10.1016/j.infsof.2021.106693
Development of mobile applications with functions in the cloud through the model driven approach: a systematic mapping study,https://doi.org/10.19153/cleiej.20.3.6
Dynamic Testing Techniques of Non-functional Requirements in Mobile Apps: A Systematic Mapping Study,https://doi.org/10.1145/3507903
Effort estimation across Mobile app platforms using agile processes: a systematic literature review,
Investigation on test effort estimation of mobile applications: Systematic literature review and survey,https://doi.org/10.1016/j.infsof.2019.02.003
Machine learning-based software defect prediction for mobile applications: A systematic literature review,https://doi.org/10.3390/s22072551
Mobile application verification: a systematic mapping study,https://doi.org/10.1007/978-3-319-21413-9_11
Quality assurance of mobile applications: A systematic mapping study,https://doi.org/10.1145/3012709.301271
Research on third-party libraries in android apps: A taxonomy and systematic literature review,https://doi.org/10.1109/TR.2018.2865733
Software engineering process models for mobile app development: A systematic literature review,https://doi.org/10.1016/j.jss.2018.08.028
Systematic literature review of mobile application development and testing effort estimation,https://doi.org/10.1016/j.jksuci.2018.11.002
Testing tools for Android context-aware applications: a systematic mapping,https://doi.org/10.1186/s13173-019-0093-7
Usability evaluation approaches for (ubiquitous) mobile applications: a systematic mapping study,
Usability of mobile applications: a systematic literature study,https://doi.org/10.1109/ACCESS.2020.2981892
